nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
244,"Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",19/01/2015,"Brussels, Belgium",Data protection,Google,FALSE,,,
245,"Günther Oettinger, Commissioner",Digital Economy and Society,19/01/2015,Brussels,Digital Economy and Society,Google,FALSE,,,
246,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,7/01/2015,Brussels,Platforms,Google,FALSE,,,
247,"Vladimir Šucha, Director-General",Director-General of Joint Research Centre(JRC),7/01/2015,Bruxelles,Horizon scanning of new emerging technologies and spill-over of digital innovation to other sectors,Google,FALSE,,,
248,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc",Transport,9/12/2014,Brussels,Presentation from Vienna City Council on Smart City Wien,Google,FALSE,,,
249,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",2/12/2014,"Brussels, Belgium",Data protection,Google,FALSE,,,
250,"Pauline Rouch, Cabinet member of Jean-Claude Juncker",President,20/11/2014,Brussels,"Meeting with Rachel Whetstone, Google's Senior Vice President for Communications and Policy: role of internet and innovation to foster economic growth and job creation in Europe and Google",Google,FALSE,,,
1,"Jean-Eric Paquet, Director-General",Director-General of Research and Innovation(RTD),26/05/2020,Brussels,Global brain health in the context of the Covid-19 pandemic,"Healthy Brains Global Initiative, Inc. (HBGI)",TRUE,,,
1,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,22/05/2017,Brussels,Digital Innovation Hub of Catalonia,HP Inc (HP),FALSE,,,
2,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,27/04/2017,Brussels,Revision of the Directive on Intellectual Property Rights Enforcement,HP Inc (HP),FALSE,,,
3,"Günther Oettinger, Commissioner",Digital Economy and Society,1/06/2016,Brussels,DSM,HP Inc (HP),FALSE,,,
4,"Stephen Quest, Director-General",Acting Director- General of Informatics(DIGIT),21/09/2015,"Brussels, Belgium",Public Sector Modernisation,HP Inc (HP),FALSE,,,
5,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,23/04/2015,Brussels,Data protection regulation,HP Inc (HP),FALSE,,,
6,"Aurore Maillet, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",12/02/2015,Brussels,Circular Economy,HP Inc (HP),FALSE,,,
7,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,4/02/2015,BXL,DSM,HP Inc (HP),FALSE,,,
8,"Kevin O'Connell, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",20/01/2015,"Brussels, Belgium",Data protection,HP Inc (HP),FALSE,,,
9,"Günther Oettinger, Commissioner",Digital Economy and Society,11/12/2014,Brussels,Digital economy and society,HP Inc (HP),FALSE,,,
10,"Gints Freimanis, Cabinet member of Valdis Dombrovskis;Valdis Dombrovskis , Vice-President","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",11/12/2014,"AmCham EU office, on Avenue des Arts 53, 1000 Brussels","Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and",HP Inc (HP),FALSE,,,
1,"Marco Valletta, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,19/02/2019,Brussels,The establishment of a second EU Reference Centre for animal welfare,Humane Society International-Europe (HSI-Europe),FALSE,,,
2,"Sebastien Paquot, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",22/11/2018,Brussels,CITES,Humane Society International-Europe (HSI-Europe),FALSE,,,
3,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,17/09/2018,Brussels,EU Protein,Humane Society International-Europe (HSI-Europe),FALSE,,,
4,"Elina Melngaile, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",7/02/2017,Brussels,International Finance Institutions and Animal Welfare,Humane Society International-Europe (HSI-Europe),FALSE,,,
5,"Aurore Maillet, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",13/05/2015,Brussels,REACH,Humane Society International-Europe (HSI-Europe),FALSE,,,
6,"Marco Valletta, Cabinet member of Vytenis Andriukaitis;Vytenis Andriukaitis, Commissioner;Arunas Vinciunas, Cabinet member of Vytenis Andriukaitis;Arunas Ribokas, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,30/01/2015,Brussels,"The Food Chain, Innovation and Challenges, Food Information to Consumers, Nutrition, and Food Waste, Animal Healt, Animal Welfare and Plant Healt",Humane Society International-Europe (HSI-Europe),FALSE,,,
1,"Diana Montero Melis, Cabinet member of Jutta Urpilainen",International Partnerships,13/07/2020,Teleconference,European Partnership for Responsible Minerals (EPRM),Intel Corporation,FALSE,,,
2,"Vivian Loonela, Cabinet member of Andrus Ansip",Digital Single Market,7/11/2018,Brussels,Presentation of intel's activities on Cybersecurity and to share views on the future European and global developments,Intel Corporation,FALSE,,,
3,"Vivian Loonela, Cabinet member of Andrus Ansip",Digital Single Market,25/01/2018,Brussels,Security research findings,Intel Corporation,FALSE,,,
4,"James Morrison, Cabinet member of Julian King",Security Union,25/01/2018,Brussels,Security Research,Intel Corporation,FALSE,,,
5,"Lucie Mattera, Cabinet member of Pierre Moscovici;David Boublil, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",23/01/2018,Brussels,Commission's digital tax proposals: informative exchange of views. Multinationals concerned about impact of change,Intel Corporation,FALSE,,,
6,"Vivian Loonela, Cabinet member of Andrus Ansip",Digital Single Market,7/12/2017,Brussels,Cybersecurity package,Intel Corporation,FALSE,,,
7,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc",Transport,12/07/2017,Brussels,Standard essential patents,Intel Corporation,FALSE,,,
8,"Elina Melngaile, Cabinet member of Valdis Dombrovskis;Valdis Dombrovskis , Vice-President","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",19/06/2017,Brussels,"economic situation within the EU, investment climate, deepening of the EMU, social dimension of the European project, financial regulations and markets",Intel Corporation,FALSE,,,
9,"Isabelle Magne, Cabinet member of Cecilia Malmström",Trade,28/04/2017,Brussels,conflict minerals,Intel Corporation,FALSE,,,
10,"Phil Hogan, Commissioner",Agriculture & Rural Development,16/02/2017,Ireland,Business matters,Intel Corporation,FALSE,,,
11,"Günther Oettinger, Commissioner",Digital Economy and Society,1/06/2016,Brussels,DSM,Intel Corporation,FALSE,,,
12,"Carlos Moedas, Commissioner","Research, Science and Innovation",25/05/2016,Brussels,European Open Science Cloud / Open Innovation,Intel Corporation,FALSE,,,
13,"Günther Oettinger, Commissioner",Digital Economy and Society,22/02/2016,Barcelona,Telco policies,Intel Corporation,FALSE,,,
14,"Edward Bannerman, Cabinet member of Jyrki Katainen;Jyrki Katainen, Vice-President","Jobs, Growth, Investment and Competitiveness",3/12/2015,Brussels,Business Europe CEO day,Intel Corporation,FALSE,,,
15,"Carlos Moedas, Commissioner","Research, Science and Innovation",3/12/2015,Brussels,Business Europe CEO day,Intel Corporation,FALSE,,,
16,"Frans Timmermans, First Vice-President","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",3/12/2015,Brussels,Business Europe CEO day,Intel Corporation,FALSE,,,
17,"Alexander Italianer, Director-General",Secretary-General of Secretariat- General(SG),3/12/2015,Brussels - Belgium,Business Europe CEO day,Intel Corporation,FALSE,,,
18,"Günther Oettinger, Commissioner",Digital Economy and Society,30/11/2015,Brussels,"Broadband, 5G",Intel Corporation,FALSE,,,
19,"Edward Bannerman, Cabinet member of Jyrki Katainen;Jyrki Katainen, Vice-President","Jobs, Growth, Investment and Competitiveness",17/11/2015,Brussels,Roll-out of Investment Plan,Intel Corporation,FALSE,,,
20,"Valdis Dombrovskis , Vice-President;Gints Freimanis, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",11/12/2014,"AmCham EU office, on Avenue des Arts 53, 1000 Brussels",Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European,Intel Corporation,FALSE,,,
1,"Lucrezia Busa, Cabinet member of Didier Reynders",Justice,22/09/2020,video conference,Preparatory meeting IAPP event,International Association of Privacy Professionals (IAPP),FALSE,,,
2,"Werner Stengg, Cabinet member of Margrethe Vestager",Europe Fit for Digital Age,23/01/2020,Brussels,Data protection,International Association of Privacy Professionals (IAPP),FALSE,,,
3,"Geneviève Tuts, Cabinet member of Didier Reynders;Lucrezia Busa, Cabinet member of Didier Reynders",Justice,23/01/2020,Brussels,General presentation of the activities of the Group,International Association of Privacy Professionals (IAPP),FALSE,,,
4,"Kevin O'Connell, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",21/10/2015,"Brussels, Belgium",GDPR,International Association of Privacy Professionals (IAPP),FALSE,,,
5,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,21/09/2015,Brussels,"Discussion on data privacy, big data and international dada flows",International Association of Privacy Professionals (IAPP),FALSE,,,
1,"Stefanie Hiesinger, Cabinet member of Frans Timmermans",European Green Deal,13/02/2020,Brussels,Review of EU light- duty CO2 standards,International Council on Clean Transportation (ICCT),FALSE,,,
2,"Silvia Bartolini, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,22/05/2017,"Brussels, Belgium",Electric vehicles,International Council on Clean Transportation (ICCT),FALSE,,,
3,"Jos Delbeke, Director-General",Director-General of Climate Action (CLIMA),17/03/2017,Brussels,CO2 emissions from transport,International Council on Clean Transportation (ICCT),FALSE,,,
4,"Jos Delbeke, Director-General",Director-General of Climate Action (CLIMA),15/12/2016,Brussels,Low emission mobility,International Council on Clean Transportation (ICCT),FALSE,,,
5,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc",Transport,22/11/2016,Brussels,Biofrontiers report,International Council on Clean Transportation (ICCT),FALSE,,,
6,"Christiane Canenbley, Cabinet member of Phil Hogan",Agriculture & Rural Development,24/10/2016,Brussels,Presentation of Biofrontiers report,International Council on Clean Transportation (ICCT),FALSE,,,
7,"Christian Linder, Cabinet member of Maroš Šefčovič",Energy Union,21/09/2016,Brussels,Standards for LDV /HDV,International Council on Clean Transportation (ICCT),FALSE,,,
8,"Peter van Kemseke, Cabinet member of Maroš Šefčovič",Energy Union,1/06/2016,Brussels,Low-emission mobility,International Council on Clean Transportation (ICCT),FALSE,,,
9,"Jos Delbeke, Director-General",Director-General of Climate Action (CLIMA),31/05/2016,Brussels,Decarbonisation of transport,International Council on Clean Transportation (ICCT),FALSE,,,
10,"Peter van Kemseke, Cabinet member of Maroš Šefčovič",Energy Union,8/03/2016,Brussels,decarbonisation of transport – position of ICCT,International Council on Clean Transportation (ICCT),FALSE,,,
1,"Giulia Del Brenna, Cabinet member of Carlos Moedas","Research, Science and Innovation",16/10/2018,Brussels,Regenerative Health Research,International Society for Stem Cell Research (ISSCR),TRUE,,,
1,"Phil Hogan, Commissioner","Financial services, financial stability and Capital Markets Union",6/07/2020,Video Conference,Trade Policy Review.,International Trademark Association (INTA),FALSE,,,
2,"Phil Hogan, Commissioner","Financial services, financial stability and Capital Markets Union",28/05/2020,Video Conference,Trade Issues,International Trademark Association (INTA),FALSE,,,
3,"Phil Hogan, Commissioner","Financial services, financial stability and Capital Markets Union",19/05/2020,Video Conference,Trade Marks.,International Trademark Association (INTA),FALSE,,,
4,"Phil Hogan, Commissioner","Financial services, financial stability and Capital Markets Union",21/04/2020,Video Conference,Trade Matters,International Trademark Association (INTA),FALSE,,,
5,"Daniel Calleja Crespo, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",13/04/2015,Brussels,TRADEMARK PACKAGE,International Trademark Association (INTA),FALSE,,,
1,"Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",6/11/2018,Brussels,Carcinogens batch 3,International Zinc Association (IZA),FALSE,,,
1,"Eszter Batta, Cabinet member of Thierry Breton;Fabrice Comptour, Cabinet member of Thierry Breton;Valere Moutarlier, Cabinet member of Thierry Breton",Internal Market,23/02/2021,Videoconference,Vaccine Manufacturing,Johnson & Johnson (J&J),TRUE,,,
2,"Ursula von der Leyen, President",President,31/01/2021,Videoconference,Meeting with CEOs of the pharmaceutical companies with which the Commission has signed Advance Purchase Agreements,Johnson & Johnson (J&J),TRUE,,,
3,"Geneviève Tuts, Cabinet member of Didier Reynders;Didier Reynders, Commissioner",Justice,9/07/2020,Video conference,Liability issues in the context of research for a vaccine against COVID-19,Johnson & Johnson (J&J),TRUE,,,
4,"Geneviève Tuts, Cabinet member of Didier Reynders",Justice,26/06/2020,Brussels,Covid-19 vaccine - research and liability issues,Johnson & Johnson (J&J),TRUE,,,
5,"Christos Stylianides, Commissioner;Felix Bloch, Cabinet member of Christos Stylianides",Humanitarian Aid & Crisis Management,16/02/2019,Munich,Discussion on Ebola,Johnson & Johnson (J&J),FALSE,,,
6,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",2/05/2018,"Brussels, Belgium",New deal for consumers – Representative actions proposal,Johnson & Johnson (J&J),FALSE,,,
7,"Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",22/02/2018,Brussels,EU Intellectual Property Rights framework,Johnson & Johnson (J&J),FALSE,,,
8,"Paula Duarte Gaspar, Cabinet member of Vytenis Andriukaitis;Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,28/06/2016,Brussels,Alzheimer's disease: research to prevent Alzheimer,Johnson & Johnson (J&J),FALSE,,,
9,"Eveline Lecoq, Cabinet member of Carlos Moedas","Research, Science and Innovation",4/02/2015,Brussels,European research policy,Johnson & Johnson (J&J),FALSE,,,
10,"Carlos Moedas, Commissioner","Research, Science and Innovation",23/01/2015,Davos,Meeting on Ebola research,Johnson & Johnson (J&J),FALSE,,,
1,"Alienor Margerit, Cabinet member of Paolo Gentiloni",Economy,3/09/2020,virtual,Banking Union and Recovery,JPMorgan Chase & Co. (n-a),FALSE,,,
2,"Valdis Dombrovskis , Executive Vice-President",An Economy that Works for People,28/07/2020,videocall,Multi-Financial Framework /Recovery Fund; COVID crisis; Capital Markets Union; Markets in Financial Instruments Directive; Impact of Brexit on financial services provision,JPMorgan Chase & Co. (n-a),TRUE,,,
3,"Anouk Faber, Cabinet member of Nicolas Schmit;Christoph Nerlich, Cabinet member of Nicolas Schmit",Jobs and Social Rights,22/04/2020,Videoconference,Videoconference meeting on Skills,JPMorgan Chase & Co. (n-a),FALSE,,,
